funding_id,announce_id,joint_project,governor,fund_company_name,clean_company_name,proj_jobs,actual_new_jobs,job_pct,total_award,award_to_company,disbursements_company,award_pct,county,tiers,site_address,award_date,funding_program,grant_status,grant_term,elapsed_days,elapsed_pct,required_investment,actual_investment,count_jobs
706,468,0,MCCRORY,"RF MICRO DEVICES, INC., d/b/a QORVO",QORVO,100,61,61,500000,500000,0,0.0,Guilford,2,"Adjacent to 7628 Thorndike, Greensboro, NC",12/3/2015,One NC ,Active,1095,1095,100,"$22,000,000 ","$30,075,000 ",1
193,46,1,PERDUE,"Grifols Therapeutics Inc. (f/k/a Talecris Biotherapeutics, Inc)",TALECRIS BIOTHERAPEUTICS,259,Not Reported,0,4881000,3660750,0,0.0,Johnston,3,"8363 US Hwy 70 West, Clayton, NC 27520",11/13/2009,JDIG,"Terminated, $0 Disbursed",4380,4380,100,"$241,830,000 ",Not Reported,0
201,50,1,PERDUE,"Innovative Emergency Management, Inc.",IEM,430,0,0,150000,150000,0,0.0,Durham,3,"2400 Ellis Road, Suite 200, Research Triangle Park, NC",12/14/2009,One NC ,"Closed, $0 Disbursed",1460,1460,100,$0 ,$0 ,0
581,367,0,MCCRORY,Nutkao USA Inc.,NUTKAO,56,29,51.8,210000,210000,105000,50.0,Nash,2,"Business and Industry Center 7008 NC 48, BATTLEBORO,NC",12/18/2013,One NC ,Active,1825,1825,100,"$6,500,000 ","$20,549,747 ",1
249,71,1,PERDUE,Clearwater Paper Corporation I,CLEARWATER PAPER,250,232,92.8,500000,500000,500000,100.0,Cleveland,1,"671 Washburn Switch Rd, Shelby, NC",6/10/2010,One NC ,"Closed, Funds Disbursed",1095,1095,100,"$234,000,000 ","$306,264,740 ",0
248,71,1,PERDUE,Clearwater Paper Corporation I,CLEARWATER PAPER,250,270,108,3478000,3478000,1908000,54.9,Cleveland,1,"671 Washburn Switch Road, , Shelby, NC 28150-7712",6/10/2010,JDIG,Active,4380,2761,63,"$234,000,000 ","$267,382,432 ",1
139,1,0,PERDUE,"Piedmont Aviation Component Services, LLC",PIEDMONT AVIATION COMPONENT SERVICES,120,0,0,44000,44000,0,0.0,Forsyth,3,"1031 East Mountain St, Building 320, Kernersville NC",2/6/2009,One NC ,"Closed, $0 Disbursed",1095,1095,100,"$5,800,000 ",$0 ,1
455,228,1,PERDUE,"Sid Tool Co., Inc.",MSC INDUSTRIAL DIRECT,400,387,96.8,1050000,1050000,590523,56.2,Mecklenburg,3,"Harbor Place (i-77 & Exit 30), Davidson, NC",6/20/2012,One NC ,Active,2190,2190,100,"$28,170,000 ","$39,278,581 ",1
490,254,1,PERDUE,"S. & D. Coffee, Inc.",S&D COFFEE,200,147,73.5,300000,300000,168000,56.0,Cabarrus,3,"755West Winds Blvd., Concord, NC",11/19/2012,One NC ,Active,1825,1825,100,"$42,300,000 ","$27,185,706 ",1
590,373,0,MCCRORY,"Standard Medical Acceptance (NC), LLC",STANDARD MEDICAL ACCEPTANCE,32,0,0,100000,100000,0,0.0,Chowan,1,"400 S Broad Street, Edenton,NC",1/21/2014,One NC ,Active,1825,1805,98.9,"$496,000 ",$0 ,1
