Company,funding_id,County,Distress Tier (1 is highest),Primary address,Other counties,Award date,Program,Status,Announced new jobs,Actual new jobs,Projected award,Awarded to date,Grant term (days),Elapsed days,Minimum new jobs,Minimum retained jobs,Actual retained jobs,Minimum average wage,Actual average wage,Announced wage,Investment required,Actual investment,count-project,count-grant,lat,lng,
ABB,273,Wake&nbsp;County,3,"940 Main Campus Drive, Raleigh, NC 27606-5211",Mecklenburg (Tier 3),9/9/10,JDIG,Active,130,156,"$2,149,500","$464,250",730,730,130,301,301,"$57,607","$88,806.00","$64,008","$81,000,000","$96,906,567.00",0,1,35.77274,-78.6784,
ABB,274,Wake&nbsp;County,3,"940 Main Campus Drive, Raleigh, NC 27606-5211",Mecklenburg (Tier 3),9/9/10,One NC,"Closed, Funds Disbursed",130,156,"$400,000","$400,000","1,095","1,095",130,301,301,$944,"$1,708.00","$64,008","$90,000,000","$98,298,899.00",1,1,35.77274,-78.6784,
ACW Technology,215,Durham&nbsp;County,3,"2500 S Tricenter Blvd, Durham, NC",,1/28/10,One NC,"Closed, $0 Disbursed",155,0,"$50,000",$0,"1,095","1,095",140,0,0,$579,$0.00,"$33,457","$4,412,700",$0.00,1,1,35.92416,-78.8817,
ACX Pacific Northwest,504,Wayne&nbsp;County,2,"301 Jeffreys Lane, Goldsboro, NC",,1/3/13,One NC,"Closed, $0 Disbursed",38,0,"$60,000",$0,"1,460","1,460",34,0,0,$509,$0.00,"$26,316","$4,230,000",$0.00,1,1,35.9334,-78.4799,
Adhezion BioMedical,170,Caldwell&nbsp;County,1,"506 Pine Mountain Road, Hudson, NC",,7/6/09,One NC,"Closed, $0 Disbursed",20,0,"$40,000",$0,"1,460","1,460",20,7,7,$736,$0.00,"$42,500","$750,000",$0.00,1,1,35.85473,-81.4672,
Advanced Textile Solutions,244,Caldwell&nbsp;County,1,"2500 Baker Circle, Granite, NC",,5/18/10,One NC,"Closed, $0 Disbursed",127,0,"$127,000",$0,"1,095","1,095",114,72,72,$331,$0.00,"$19,111","$450,000",$0.00,1,1,35.82225,-81.4715,
Aerocrine,431,Wake&nbsp;County,3,"5151 McCrimmon Pkwy, Morrisville, NC",,3/15/12,One NC,"Closed, $0 Disbursed",45,0,"$50,000",$0,"1,095","1,095",41,6,6,"$1,194",$0.00,"$69,000","$197,000",$0.00,1,1,35.84583,-78.8368,
AKG North America,359,Orange&nbsp;County,3,"7315 Oakwood Street Extension, Mebane, NC",,6/15/11,One NC,"Closed, Funds Disbursed",76,71,"$100,000","$100,000","1,095","1,095",68,311,311,$739,$822.00,"$42,710","$2,970,000","$3,310,426.00",1,1,36.07905,-79.2579,
Albaad USA,234,Rockingham&nbsp;County,1,"129 Technology Drive South, Reidsville, NC",,4/13/10,One NC,"Closed, $0 Disbursed",95,0,"$350,000",$0,"1,095","1,095",86,200,200,$378,$0.00,"$21,820","$8,100,000",$0.00,1,1,34.30863,-77.8759,
Alliance Precision Plastics Corp,428,Rutherford&nbsp;County,1,"171 Fairground Road, Spindale, NC",,2/24/12,One NC,Active,54,28,"$48,000","$24,000","1,095","1,041",49,0,0,$541,$620.00,"$28,148","$270,000","$1,460,544.00",1,1,35.2853,-81.4891,
